iter	Passed	Remaining
382	1187	1912
383	1189	1908
384	1191	1903
385	1195	1900
386	1199	1899
387	1201	1895
388	1203	1890
389	1205	1886
390	1208	1882
391	1213	1881
392	1215	1877
393	1218	1873
394	1220	1869
395	1222	1865
396	1225	1861
397	1229	1859
398	1231	1855
399	1233	1850
400	1236	1846
401	1238	1842
402	1240	1838
403	1244	1836
404	1247	1832
405	1249	1827
406	1252	1824
407	1254	1820
408	1258	1818
409	1261	1815
410	1264	1811
411	1266	1807
412	1269	1804
413	1271	1799
414	1275	1797
415	1278	1794
416	1280	1790
417	1282	1786
418	1284	1781
419	1286	1777
420	1291	1776
421	1293	1772
422	1296	1768
423	1298	1763
424	1300	1759
425	1303	1756
426	1306	1753
427	1309	1749
428	1311	1745
429	1313	1741
430	1315	1737
431	1317	1732
432	1321	1730
433	1325	1728
434	1326	1722
435	1328	1718
436	1330	1714
437	1332	1710
438	1336	1707
439	1339	1704
440	1341	1700
441	1344	1696
442	1346	1692
443	1348	1688
444	1349	1683
445	1354	1682
446	1356	1678
447	1359	1674
448	1361	1670
449	1363	1666
450	1365	1661
451	1368	1659
452	1371	1655
453	1373	1651
454	1375	1647
455	1377	1643
456	1380	1640
457	1384	1638
458	1387	1635
459	1389	1630
460	1391	1626
461	1393	1622
462	1396	1619
463	1399	1616
464	1403	1614
465	1405	1610
466	1408	1607
467	1410	1603
468	1413	1600
469	1417	1598
470	1420	1595
471	1422	1591
472	1424	1587
473	1427	1584
474	1431	1582
475	1435	1580
476	1438	1576
477	1440	1572
478	1442	1568
479	1446	1567
480	1450	1565
481	1453	1562
482	1456	1559
483	1459	1556
484	1464	1554
485	1467	1552
486	1470	1548
487	1471	1544
488	1474	1541
489	1478	1538
490	1481	1536
491	1484	1532
492	1486	1528
493	1488	1524
494	1491	1521
495	1495	1519
496	1497	1515
497	1500	1512
498	1502	1508
499	1505	1505
500	1508	1502
501	1512	1500
502	1514	1496
503	1516	1492
504	1519	1489
505	1523	1487
506	1526	1484
507	1529	1481
508	1531	1477
509	1534	1473
510	1536	1470
511	1539	1467
512	1543	1465
513	1546	1461
514	1548	1458
515	1550	1454
516	1554	1452
517	1557	1449
518	1561	1447
519	1564	1443
520	1566	1440
521	1571	1439
522	1575	1436
523	1577	1432
524	1579	1429
525	1582	1425
526	1585	1423
527	1589	1420
528	1592	1417
529	1595	1414
530	1599	1412
531	1604	1411
532	1607	1408
533	1610	1405
534	1612	1401
535	1615	1398
536	1619	1396
537	1622	1393
538	1625	1390
539	1627	1386
540	1630	1383
541	1634	1381
542	1637	1378
543	1640	1375
544	1642	1371
545	1646	1369
546	1649	1366
547	1653	1363
548	1657	1361
549	1659	1357
550	1662	1354
551	1671	1356
552	1674	1353
553	1676	1349
554	1680	1347
555	1683	1344
556	1686	1340
557	1688	1337
558	1691	1334
559	1693	1330
560	1698	1329
561	1701	1326
562	1703	1322
563	1706	1318
564	1709	1315
565	1713	1313
566	1716	1310
567	1718	1307
568	1721	1304
569	1724	1300
570	1726	1296
571	1731	1295
572	1733	1292
573	1736	1288
574	1738	1284
575	1740	1281
576	1744	1278
577	1747	1276
578	1750	1272
579	1752	1269
580	1755	1265
581	1758	1262
582	1761	1260
583	1764	1257
584	1767	1253
585	1769	1250
586	1772	1246
587	1774	1243
588	1779	1241
589	1781	1238
590	1784	1235
591	1787	1231
592	1791	1229
593	1794	1226
594	1797	1223
595	1800	1220
596	1803	1217
597	1806	1214
598	1808	1210
599	1811	1207
600	1813	1204
601	1816	1200
602	1818	1197
603	1822	1194
604	1825	1191
605	1827	1188
606	1830	1185
607	1832	1181
608	1834	1178
609	1838	1175
610	1841	1172
611	1843	1168
612	1846	1165
613	1848	1162
614	1850	1158
615	1856	1157
616	1859	1154
617	1862	1151
618	1865	1148
619	1868	1145
620	1871	1142
621	1874	1139
622	1876	1135
623	1879	1132
624	1881	1129
625	1887	1127
626	1890	1124
627	1893	1121
628	1896	1118
629	1908	1120
630	1910	1117
631	1914	1114
632	1919	1112
633	1921	1109
634	1924	1105
635	1926	1102
636	1928	1099
637	1930	1095
638	1934	1092
639	1936	1089
640	1938	1085
641	1940	1082
642	1942	1078
643	1944	1075
644	1948	1072
645	1952	1069
646	1954	1066
647	1956	1062
648	1958	1059
649	1961	1055
650	1967	1054
651	1969	1051
652	1972	1048
653	1975	1044
654	1976	1041
655	1980	1038
656	1983	1035
657	1985	1031
658	1987	1028
659	1989	1025
660	1991	1021
661	1995	1018
662	1998	1015
663	2000	1012
664	2002	1008
665	2004	1005
666	2006	1001
667	2008	998
668	2011	995
669	2014	992
670	2016	988
671	2019	985
672	2021	982
673	2023	978
674	2026	975
675	2029	972
676	2032	969
677	2034	966
678	2036	962
679	2039	959
680	2045	958
681	2048	955
682	2050	951
683	2052	948
684	2055	945
685	2058	942
686	2061	939
687	2063	935
688	2066	932
689	2069	929
690	2071	926
691	2075	923
692	2078	920
693	2081	917
694	2083	914
695	2085	910
696	2087	907
697	2091	905
698	2094	901
699	2096	898
700	2098	895
701	2101	892
702	2105	889
703	2108	886
704	2111	883
705	2114	880
706	2116	877
707	2118	873
708	2123	871
709	2125	868
710	2128	864
711	2130	861
712	2132	858
713	2136	855
714	2139	852
715	2142	849
716	2144	846
717	2146	843
718	2149	840
719	2153	837
720	2156	834
721	2159	831
722	2162	828
723	2164	825
724	2167	822
725	2171	819
726	2173	816
727	2176	813
728	2178	809
729	2181	806
730	2184	803
731	2187	800
732	2189	797
733	2191	794
734	2192	790
735	2195	787
736	2197	784
737	2202	781
738	2204	778
739	2207	775
740	2208	771
741	2211	768
742	2213	765
743	2216	762
744	2219	759
745	2221	756
746	2224	753
747	2226	750
748	2229	746
749	2233	744
750	2237	741
751	2239	738
752	2241	735
753	2244	732
754	2247	729
755	2250	726
756	2252	723
757	2255	720
758	2258	717
759	2260	713
760	2265	711
761	2268	708
762	2270	705
763	2273	702
764	2275	698
765	2278	696
766	2281	693
767	2283	689
768	2286	686
769	2288	683
770	2290	680
771	2294	677
772	2297	674
773	2300	671
774	2302	668
775	2305	665
776	2307	662
777	2311	659
778	2315	656
779	2318	653
780	2320	650
781	2323	647
782	2327	644
783	2330	641
784	2333	639
785	2335	635
786	2337	632
787	2340	629
788	2345	627
789	2348	624
790	2350	621
791	2353	618
792	2356	615
793	2360	612
794	2362	609
795	2365	606
796	2368	603
797	2370	600
798	2374	597
799	2377	594
800	2379	591
801	2382	588
802	2384	585
803	2388	582
804	2391	579
805	2395	576
806	2397	573
807	2399	570
808	2402	567
809	2406	564
810	2408	561
811	2411	558
812	2414	555
813	2416	552
814	2420	549
815	2423	546
816	2426	543
817	2429	540
818	2431	537
819	2434	534
820	2438	531
821	2440	528
822	2443	525
823	2446	522
824	2448	519
825	2452	516
826	2455	513
827	2458	510
828	2460	507
829	2462	504
830	2464	501
831	2469	498
832	2472	495
833	2474	492
834	2477	489
835	2479	486
836	2483	483
837	2486	480
838	2488	477
839	2490	474
840	2493	471
841	2495	468
842	2499	465
843	2501	462
844	2504	459
845	2506	456
846	2509	453
847	2513	450
848	2516	447
849	2519	444
850	2521	441
851	2523	438
852	2526	435
853	2529	432
854	2531	429
855	2533	426
856	2535	423
857	2538	420
858	2541	417
859	2543	414
860	2547	411
861	2550	408
862	2552	405
863	2554	402
864	2556	398
865	2558	395
866	2562	393
867	2564	390
868	2567	386
869	2569	383
870	2571	380
871	2574	377
872	2577	374
873	2580	371
874	2582	368
875	2584	365
876	2586	362
877	2588	359
878	2593	356
879	2596	354
880	2598	351
881	2600	347
882	2602	344
883	2604	341
884	2607	338
885	2610	335
886	2613	332
887	2615	329
888	2617	326
889	2619	323
890	2621	320
891	2625	317
892	2628	314
893	2630	311
894	2633	308
895	2635	305
896	2636	302
897	2639	299
898	2642	296
899	2645	293
900	2647	290
901	2649	287
902	2651	284
903	2653	281
904	2657	278
905	2659	275
906	2662	272
907	2665	270
908	2667	267
909	2670	264
910	2673	261
911	2676	258
912	2679	255
913	2681	252
914	2683	249
915	2686	246
916	2689	243
917	2692	240
918	2694	237
919	2696	234
920	2699	231
921	2701	228
922	2705	225
923	2708	222
924	2710	219
925	2713	216
926	2716	213
927	2720	211
928	2722	208
929	2726	205
930	2729	202
931	2731	199
932	2734	196
933	2738	193
934	2742	190
935	2745	187
936	2748	184
937	2753	181
938	2756	179
939	2759	176
940	2761	173
941	2764	170
942	2768	167
943	2771	164
944	2774	161
945	2776	158
946	2778	155
947	2782	152
948	2785	149
949	2787	146
950	2790	143
951	2792	140
952	2794	137
953	2797	134
954	2800	131
955	2803	129
956	2805	126
957	2807	123
958	2810	120
959	2812	117
960	2815	114
961	2818	111
962	2820	108
963	2822	105
964	2824	102
965	2826	99
966	2830	96
967	2833	93
968	2836	90
969	2838	87
970	2840	84
971	2843	81
972	2846	78
973	2849	76
974	2851	73
975	2853	70
976	2855	67
977	2857	64
978	2860	61
979	2863	58
980	2866	55
981	2869	52
982	2871	49
983	2874	46
984	2879	43
985	2881	40
986	2883	37
987	2885	35
988	2888	32
989	2890	29
990	2893	26
991	2896	23
992	2898	20
993	2900	17
994	2904	14
995	2906	11
996	2910	8
997	2912	5
998	2914	2
999	2916	0
