iter	Logloss
0	0.6876129408
1	0.6825453512
2	0.6777600492
3	0.6727030465
4	0.6674682103
5	0.662146879
6	0.6567181362
7	0.6516959373
8	0.6474137467
9	0.642566038
10	0.6377456322
11	0.6328861365
12	0.6278657377
13	0.6230344451
14	0.6193537337
15	0.6148832943
16	0.6105449119
17	0.6074150171
18	0.6031175249
19	0.5987691129
20	0.5952702212
21	0.591939819
22	0.5881510531
23	0.5845613801
24	0.5808285488
25	0.5771774121
26	0.5744658909
27	0.5714966849
28	0.5686114879
29	0.5659357992
30	0.5634533743
31	0.5609367028
32	0.5584376046
33	0.5551796388
34	0.5520189264
35	0.5490396478
36	0.5461946552
37	0.5432591813
38	0.5403576969
39	0.538474608
40	0.5357043234
41	0.532736146
42	0.530432969
43	0.5279436004
44	0.525610163
45	0.5232069037
46	0.5205679047
47	0.5185064252
48	0.5161144385
49	0.5137383107
50	0.5116017374
51	0.5094180161
52	0.5071940047
53	0.5050148267
54	0.5031890869
55	0.5011786986
56	0.4992240734
57	0.4978991734
58	0.4960738621
59	0.494339675
60	0.4922505497
61	0.4907945783
62	0.4888910444
63	0.4872742985
64	0.4859217097
65	0.4841546905
66	0.4825585183
67	0.480864407
68	0.4792105857
69	0.4774972294
70	0.4762505521
71	0.4749003207
72	0.4732455136
73	0.471922628
74	0.4704574414
75	0.4688856575
76	0.4682531464
77	0.4667429549
78	0.4657925381
79	0.4647755998
80	0.4632529784
81	0.4621251996
82	0.4612058575
83	0.4605878337
84	0.4600510329
85	0.4587976691
86	0.4577902033
87	0.4567899383
88	0.4560292705
89	0.4549672845
90	0.4540113385
91	0.4528463128
92	0.451811544
93	0.4508075071
94	0.4495061381
95	0.4486248574
96	0.4474387865
97	0.4464163619
98	0.4459916876
99	0.4447876148
100	0.4436607789
101	0.4427378365
102	0.4417538589
103	0.4413286273
104	0.4403524506
105	0.439197326
106	0.4386213924
107	0.4376741045
108	0.436839243
109	0.4361057924
110	0.435351854
111	0.4346948259
112	0.4336615145
113	0.4330289605
114	0.4327402865
115	0.4319310563
116	0.4312464682
117	0.4308343094
118	0.4302038128
119	0.4292209925
120	0.4283237672
121	0.4276343785
122	0.4270637169
123	0.4266017099
124	0.4258997628
125	0.425194301
126	0.424328279
127	0.4240906962
128	0.4234235099
129	0.4227861554
130	0.4222632419
131	0.4215446644
132	0.4211952552
133	0.4206200075
134	0.419972409
135	0.4194999438
136	0.4189659719
137	0.4187471197
138	0.4180428151
139	0.4175303598
140	0.4167422605
141	0.4162082886
142	0.4154992264
143	0.4153216073
144	0.4151389733
145	0.4147799631
146	0.4144596143
147	0.4138664503
148	0.4133076186
149	0.412742529
150	0.4119107964
151	0.411307217
152	0.4110867361
153	0.4105140172
154	0.4100718552
155	0.4094453447
156	0.4090907922
157	0.408743569
158	0.4085288744
159	0.4080480511
160	0.4074843332
161	0.4070518579
162	0.4064879685
163	0.4059035912
164	0.40569344
165	0.4052430056
166	0.4048304611
167	0.4044411906
168	0.4039823554
169	0.4034464975
170	0.4029704319
171	0.4025460575
172	0.4022947161
173	0.4018435532
174	0.4014881434
175	0.4009328692
176	0.4008145707
177	0.4004375158
178	0.3999477772
179	0.3997239102
180	0.3995429478
181	0.3991491339
182	0.3986893557
183	0.398552841
184	0.3978954701
185	0.397477225
186	0.3972089532
187	0.3968691022
188	0.3963022125
189	0.3958013299
190	0.3954342188
191	0.3951797485
192	0.3947788624
193	0.394393278
194	0.3942493053
195	0.393765996
196	0.3934082288
197	0.3929186189
198	0.3926796217
199	0.3922078851
200	0.3920536684
201	0.391619693
202	0.3913027731
203	0.3910475313
204	0.3909021442
205	0.3906893784
206	0.3905719371
207	0.390351199
208	0.3900908567
209	0.3899198382
210	0.3895291103
211	0.3894234132
212	0.3891680428
213	0.3889621349
214	0.3887306813
215	0.3884939129
216	0.3882796041
217	0.3879039636
218	0.3875170933
219	0.3872138034
220	0.3868445064
221	0.3864716091
222	0.386208995
223	0.3859043336
224	0.3857929787
225	0.3856455771
226	0.3853343578
227	0.3847988
228	0.3845318141
229	0.3844134299
230	0.3843421507
231	0.3840628635
232	0.3838338102
233	0.3833892051
234	0.3831043886
235	0.382952658
236	0.3827552367
237	0.3824417029
238	0.3823569651
239	0.3820780208
240	0.3817928614
241	0.3815916683
242	0.3814818136
243	0.3812138847
244	0.3810190779
245	0.3806319933
246	0.3803729797
247	0.3803274605
248	0.3801631285
249	0.3798558096
250	0.3797247383
251	0.3794397933
252	0.3791519336
253	0.3787615487
254	0.378504721
255	0.3782991559
256	0.3780262122
257	0.3777758566
258	0.3776873471
259	0.3773509251
260	0.3771661908
261	0.3770183177
262	0.3767143421
263	0.3764153813
264	0.3762178742
265	0.3759135986
266	0.3756213242
267	0.3754076583
268	0.3753636821
269	0.3750780941
270	0.3750057435
271	0.3747753186
272	0.3745424078
273	0.374224502
274	0.3741092468
275	0.3737166758
276	0.3735397425
277	0.3732655986
278	0.3730441747
279	0.3727412706
280	0.3724616404
281	0.37220567
282	0.3721444634
283	0.3718724626
284	0.3717091593
285	0.37134552
286	0.3711257677
287	0.3708977003
288	0.370679191
289	0.3705541204
290	0.3704720829
291	0.3702002536
292	0.3699626708
293	0.369838286
294	0.3694023389
295	0.3692264771
296	0.3691788577
297	0.3690453862
298	0.3688335633
299	0.368526673
300	0.3683125357
301	0.3682457999
302	0.368049793
303	0.3678919331
304	0.3677018841
305	0.3675336516
306	0.3673379448
307	0.3672171175
308	0.3670717732
309	0.3667268217
310	0.3664884246
311	0.3663573104
312	0.3662595427
313	0.3661044689
314	0.3660711224
315	0.3658327253
316	0.365722099
317	0.3655479945
318	0.3653982355
319	0.3652327891
320	0.3650240094
321	0.3648322459
322	0.3647012603
323	0.3645119399
324	0.3644617916
325	0.3643606807
326	0.364191291
327	0.3640258446
328	0.3638657131
329	0.3636321164
330	0.3634556974
331	0.3632868649
332	0.362961887
333	0.3626792136
334	0.3625676016
335	0.3624688052
336	0.3621056803
337	0.3619882391
338	0.3617963469
339	0.3614979433
340	0.3614168489
341	0.3612349435
342	0.361131218
343	0.3609312679
344	0.3608204702
345	0.3606628675
346	0.3605112654
